state loaded in 8s
resume: 32106 orbits, 3691 expanded, 1 skipped, 28414 queued; tight range 30..10845; workers 207
tight=30: 30 neighbors, +3 orbits, total 33990, expanded 3991
tight=30: 30 neighbors, +6 orbits, total 33996, expanded 3992
tight=30: 30 neighbors, +12 orbits, total 34008, expanded 3993
tight=30: 30 neighbors, +5 orbits, total 34013, expanded 3994
tight=30: 30 neighbors, +3 orbits, total 34016, expanded 3995
tight=30: 30 neighbors, +7 orbits, total 34023, expanded 3996
tight=30: 30 neighbors, +5 orbits, total 34028, expanded 3997
tight=30: 30 neighbors, +7 orbits, total 34035, expanded 3998
tight=30: 30 neighbors, +8 orbits, total 34043, expanded 3999
tight=30: 30 neighbors, +2 orbits, total 34045, expanded 4000
tight=30: 30 neighbors, +7 orbits, total 34052, expanded 4001
tight=30: 30 neighbors, +6 orbits, total 34058, expanded 4002
tight=30: 30 neighbors, +3 orbits, total 34061, expanded 4003
tight=30: 30 neighbors, +13 orbits, total 34074, expanded 4004
tight=30: 30 neighbors, +4 orbits, total 34078, expanded 4005
tight=30: 30 neighbors, +7 orbits, total 34085, expanded 4006
tight=30: 30 neighbors, +6 orbits, total 34091, expanded 4007
tight=30: 30 neighbors, +3 orbits, total 34094, expanded 4008
tight=30: 30 neighbors, +7 orbits, total 34101, expanded 4009
tight=30: 30 neighbors, +4 orbits, total 34105, expanded 4010
tight=30: 30 neighbors, +5 orbits, total 34110, expanded 4011
tight=30: 30 neighbors, +4 orbits, total 34114, expanded 4012
tight=30: 30 neighbors, +3 orbits, total 34117, expanded 4013
tight=30: 30 neighbors, +1 orbits, total 34118, expanded 4014
tight=30: 30 neighbors, +10 orbits, total 34128, expanded 4015
tight=30: 30 neighbors, +10 orbits, total 34138, expanded 4016
tight=30: 30 neighbors, +9 orbits, total 34147, expanded 4017
tight=30: 30 neighbors, +4 orbits, total 34151, expanded 4018
tight=30: 30 neighbors, +7 orbits, total 34158, expanded 4019
tight=30: 30 neighbors, +3 orbits, total 34161, expanded 4020
tight=30: 30 neighbors, +1 orbits, total 34162, expanded 4021
tight=30: 30 neighbors, +5 orbits, total 34167, expanded 4022
tight=30: 30 neighbors, +14 orbits, total 34181, expanded 4023
tight=30: 30 neighbors, +7 orbits, total 34188, expanded 4024
tight=30: 30 neighbors, +4 orbits, total 34192, expanded 4025
tight=30: 30 neighbors, +2 orbits, total 34194, expanded 4026
tight=30: 30 neighbors, +10 orbits, total 34204, expanded 4027
tight=30: 30 neighbors, +6 orbits, total 34210, expanded 4028
tight=30: 30 neighbors, +3 orbits, total 34213, expanded 4029
tight=30: 30 neighbors, +0 orbits, total 34213, expanded 4030
tight=30: 30 neighbors, +2 orbits, total 34215, expanded 4031
tight=30: 30 neighbors, +8 orbits, total 34223, expanded 4032
tight=30: 30 neighbors, +5 orbits, total 34228, expanded 4033
tight=30: 30 neighbors, +13 orbits, total 34241, expanded 4034
tight=30: 30 neighbors, +7 orbits, total 34248, expanded 4035
tight=30: 30 neighbors, +5 orbits, total 34253, expanded 4036
tight=30: 30 neighbors, +5 orbits, total 34258, expanded 4037
tight=30: 30 neighbors, +8 orbits, total 34266, expanded 4038
tight=30: 30 neighbors, +5 orbits, total 34271, expanded 4039
tight=30: 30 neighbors, +7 orbits, total 34278, expanded 4040
tight=30: 30 neighbors, +10 orbits, total 34288, expanded 4041
tight=30: 30 neighbors, +9 orbits, total 34297, expanded 4042
tight=30: 30 neighbors, +4 orbits, total 34301, expanded 4043
tight=30: 30 neighbors, +8 orbits, total 34309, expanded 4044
tight=30: 30 neighbors, +4 orbits, total 34313, expanded 4045
tight=30: 30 neighbors, +1 orbits, total 34314, expanded 4046
tight=30: 30 neighbors, +7 orbits, total 34321, expanded 4047
tight=30: 30 neighbors, +4 orbits, total 34325, expanded 4048
tight=30: 30 neighbors, +5 orbits, total 34330, expanded 4049
tight=30: 30 neighbors, +6 orbits, total 34336, expanded 4050
tight=30: 30 neighbors, +9 orbits, total 34345, expanded 4051
tight=30: 30 neighbors, +12 orbits, total 34357, expanded 4052
tight=30: 30 neighbors, +11 orbits, total 34368, expanded 4053
tight=30: 30 neighbors, +11 orbits, total 34379, expanded 4054
tight=30: 30 neighbors, +5 orbits, total 34384, expanded 4055
tight=30: 30 neighbors, +7 orbits, total 34391, expanded 4056
tight=30: 30 neighbors, +6 orbits, total 34397, expanded 4057
tight=30: 30 neighbors, +9 orbits, total 34406, expanded 4058
tight=30: 30 neighbors, +11 orbits, total 34417, expanded 4059
tight=30: 30 neighbors, +7 orbits, total 34424, expanded 4060
tight=30: 30 neighbors, +8 orbits, total 34432, expanded 4061
tight=30: 30 neighbors, +7 orbits, total 34439, expanded 4062
tight=30: 30 neighbors, +7 orbits, total 34446, expanded 4063
tight=30: 30 neighbors, +9 orbits, total 34455, expanded 4064
tight=30: 30 neighbors, +7 orbits, total 34462, expanded 4065
tight=30: 30 neighbors, +9 orbits, total 34471, expanded 4066
tight=30: 30 neighbors, +1 orbits, total 34472, expanded 4067
tight=30: 30 neighbors, +4 orbits, total 34476, expanded 4068
tight=30: 30 neighbors, +10 orbits, total 34486, expanded 4069
tight=30: 30 neighbors, +7 orbits, total 34493, expanded 4070
tight=30: 30 neighbors, +4 orbits, total 34497, expanded 4071
tight=30: 30 neighbors, +10 orbits, total 34507, expanded 4072
tight=30: 30 neighbors, +11 orbits, total 34518, expanded 4073
tight=30: 30 neighbors, +7 orbits, total 34525, expanded 4074
tight=30: 30 neighbors, +8 orbits, total 34533, expanded 4075
tight=30: 30 neighbors, +5 orbits, total 34538, expanded 4076
tight=30: 30 neighbors, +5 orbits, total 34543, expanded 4077
tight=30: 30 neighbors, +8 orbits, total 34551, expanded 4078
tight=30: 30 neighbors, +3 orbits, total 34554, expanded 4079
tight=30: 30 neighbors, +9 orbits, total 34563, expanded 4080
tight=30: 30 neighbors, +6 orbits, total 34569, expanded 4081
tight=30: 30 neighbors, +12 orbits, total 34581, expanded 4082
tight=30: 30 neighbors, +7 orbits, total 34588, expanded 4083
tight=30: 30 neighbors, +7 orbits, total 34595, expanded 4084
tight=30: 30 neighbors, +3 orbits, total 34598, expanded 4085
tight=30: 30 neighbors, +7 orbits, total 34605, expanded 4086
tight=30: 30 neighbors, +10 orbits, total 34615, expanded 4087
tight=30: 30 neighbors, +7 orbits, total 34622, expanded 4088
tight=30: 30 neighbors, +1 orbits, total 34623, expanded 4089
tight=30: 30 neighbors, +9 orbits, total 34632, expanded 4090
tight=30: 30 neighbors, +8 orbits, total 34640, expanded 4091
tight=30: 30 neighbors, +4 orbits, total 34644, expanded 4092
tight=30: 30 neighbors, +16 orbits, total 34660, expanded 4093
tight=30: 30 neighbors, +7 orbits, total 34667, expanded 4094
tight=30: 30 neighbors, +5 orbits, total 34672, expanded 4095
tight=30: 30 neighbors, +5 orbits, total 34677, expanded 4096
tight=30: 30 neighbors, +10 orbits, total 34687, expanded 4097
tight=30: 30 neighbors, +7 orbits, total 34694, expanded 4098
tight=30: 30 neighbors, +2 orbits, total 34696, expanded 4099
tight=30: 30 neighbors, +6 orbits, total 34702, expanded 4100
tight=30: 30 neighbors, +4 orbits, total 34706, expanded 4101
tight=30: 30 neighbors, +6 orbits, total 34712, expanded 4102
tight=30: 30 neighbors, +10 orbits, total 34722, expanded 4103
tight=30: 30 neighbors, +11 orbits, total 34733, expanded 4104
tight=30: 30 neighbors, +7 orbits, total 34740, expanded 4105
tight=30: 30 neighbors, +10 orbits, total 34750, expanded 4106
tight=30: 30 neighbors, +6 orbits, total 34756, expanded 4107
tight=30: 30 neighbors, +9 orbits, total 34765, expanded 4108
tight=30: 30 neighbors, +3 orbits, total 34768, expanded 4109
tight=30: 30 neighbors, +7 orbits, total 34775, expanded 4110
tight=30: 30 neighbors, +8 orbits, total 34783, expanded 4111
tight=30: 30 neighbors, +12 orbits, total 34795, expanded 4112
tight=30: 30 neighbors, +5 orbits, total 34800, expanded 4113
tight=30: 30 neighbors, +4 orbits, total 34804, expanded 4114
tight=30: 30 neighbors, +11 orbits, total 34815, expanded 4115
tight=30: 30 neighbors, +6 orbits, total 34821, expanded 4116
tight=30: 30 neighbors, +5 orbits, total 34826, expanded 4117
tight=30: 30 neighbors, +3 orbits, total 34829, expanded 4118
tight=30: 30 neighbors, +5 orbits, total 34834, expanded 4119
